BusinessEntityID,PersonType,Name,HireDate,EmailPromotion,Thời Gian Gửi Đơn,Rate,KPI,Doanh Số Đạt Được,Vượt KPI,VacationHours,SickLeaveHours,Số Ngày,Quyết định Tăng Lương
42,EM,James D Kramer,2008-12-27 00:00:00.000,2,2009-09-29 04:10:33.952,43,379355,384835,5480,17,26,276.0,Không
43,EM,Nancy A Anderson,2009-01-02 00:00:00.000,1,2010-06-01 19:59:39.915,23,202911,227848,24937,28,55,515.0,Có
44,EM,Simon D Rapier,2008-12-08 00:00:00.000,0,,45,397000,378930,-18070,79,60,,Không
45,EM,Thomas R Michaels,2009-02-26 00:00:00.000,1,2013-07-03 00:01:33.236,10,88222,86226,-1996,58,35,1588.0,Không
46,EM,Eugene O Kogan,2009-02-08 00:00:00.000,0,,97,855755,858197,2442,88,66,,Không
47,EM,Andrew R Hill,2009-02-22 00:00:00.000,1,2011-08-29 17:30:53.468,99,873400,886184,12784,13,76,918.0,Không
48,EM,Ruth Ann Ellerbrock,2008-01-06 00:00:00.000,0,,121,1067488,1082311,14823,6,29,,Không
49,EM,Barry K Johnson,2008-01-07 00:00:00.000,0,,89,785177,774030,-11147,73,69,,Không
50,EM,Sidney M Higa,2008-02-02 00:00:00.000,0,,53,467577,469954,2377,41,43,,Không
51,EM,Jeffrey L Ford,2008-02-20 00:00:00.000,0,,91,802822,805849,3027,90,59,,Không
52,EM,Doris M Hartwig,2008-03-10 00:00:00.000,0,,74,652844,661759,8915,45,70,,Không
53,EM,Diane R Glimp,2008-03-28 00:00:00.000,2,2008-09-27 22:09:48.200,107,943977,938226,-5751,95,56,183.0,Không
54,EM,Bonnie N Kearney,2010-01-01 00:00:00.000,0,,26,229377,227990,-1387,70,38,,Không
55,EM,Taylor R Maxwell,2008-02-08 00:00:00.000,0,,17,149977,166285,16308,1,74,,Không
56,EM,Denise H Smith,2009-02-05 00:00:00.000,0,,125,1102777,1098499,-4278,56,37,,Không
57,EM,Frank T Miller,2009-02-23 00:00:00.000,1,2010-09-20 23:04:47.059,98,864577,885357,20780,82,68,574.0,Không
58,EM,Kendall C Keil,2008-12-05 00:00:00.000,2,2012-07-25 20:40:41.106,14,123511,99592,-23919,49,51,1328.0,Không
59,EM,Bob N Hohman,2008-12-24 00:00:00.000,0,,96,846933,825107,-21826,99,52,,Không
60,EM,Pete C Male,2009-01-11 00:00:00.000,2,2013-10-13 05:18:11.051,60,529333,551217,21884,43,68,1736.0,Không
61,EM,Diane H Tibbott,2009-01-18 00:00:00.000,0,,79,696955,690039,-6916,44,77,,Không
62,EM,John T Campbell,2008-03-17 00:00:00.000,1,2013-03-07 23:17:09.334,51,449933,451593,1660,10,49,1816.0,Có
63,EM,Maciej W Dusza,2010-01-29 00:00:00.000,0,,93,820466,831568,11102,84,57,,Không
64,EM,Michael J Zwilling,2010-02-23 00:00:00.000,1,2013-03-23 05:16:25.602,53,467577,448644,-18933,1,56,1124.0,Không
65,EM,Randy T Reeves,2010-02-23 00:00:00.000,0,,118,1041022,1024979,-16043,41,44,,Không
66,EM,Karan R Khanna,2009-12-22 00:00:00.000,1,2011-10-10 09:28:07.323,44,388177,412964,24787,7,25,657.0,Có
67,EM,Jay G Adams,2009-03-05 00:00:00.000,0,,49,432288,439392,7104,43,47,,Không
68,EM,Charles B Fitzgerald,2009-12-03 00:00:00.000,2,2012-07-05 07:03:58.488,90,794000,787865,-6135,8,79,945.0,Không
69,EM,Steve F Masters,2009-02-15 00:00:00.000,1,2011-06-20 23:45:21.006,103,908688,907800,-888,37,35,855.0,Không
70,EM,David J Ortiz,2008-12-15 00:00:00.000,0,,17,149977,152421,2444,9,53,,Không
71,EM,Michael Sean Ray,2009-02-15 00:00:00.000,2,2011-12-21 01:21:36.310,74,652844,670515,17671,31,52,1039.0,Có
72,EM,Steven T Selikoff,2008-12-01 00:00:00.000,2,2011-10-24 00:18:27.459,43,379355,364472,-14883,82,49,1057.0,Không
73,EM,Carole M Poland,2008-12-19 00:00:00.000,2,2011-03-01 13:15:04.681,9,79400,96226,16826,46,50,802.0,Có
74,EM,Bjorn M Rettig,2009-01-07 00:00:00.000,1,2012-06-14 15:06:55.989,78,688133,680438,-7695,11,78,1254.0,Không
75,EM,Michiko F Osada,2009-01-26 00:00:00.000,0,,56,494044,475876,-18168,33,61,,Không
76,EM,Carol M Philips,2009-02-12 00:00:00.000,2,2014-01-24 19:22:17.081,25,220555,239173,18618,52,50,1807.0,Có
77,EM,Merav A Netz,2009-03-03 00:00:00.000,0,,19,167622,163286,-4336,18,43,,Không
78,EM,Reuben H D'sa,2008-12-15 00:00:00.000,2,2010-09-12 08:11:00.573,99,873400,883756,10356,3,58,636.0,Có
79,EM,Eric L Brown,2010-01-24 00:00:00.000,0,,96,846933,855960,9027,28,22,,Không
80,EM,Sandeep P Kaliyath,2010-01-17 00:00:00.000,2,2013-11-07 01:54:16.113,56,494044,491738,-2306,28,69,1390.0,Không
81,EM,Mihail U Frintu,2009-12-29 00:00:00.000,0,,37,326422,326285,-137,54,25,,Không
82,EM,Jack T Creasey,2010-03-03 00:00:00.000,0,,11,97044,74360,-22684,8,32,,Không
83,EM,Patrick M Cook,2010-02-12 00:00:00.000,0,,89,785177,760283,-24894,89,74,,Không
84,EM,Frank R Martinez,2010-02-05 00:00:00.000,1,2013-11-22 09:52:31.495,104,917511,939655,22144,95,52,1386.0,Không
85,EM,Brian Richard Goldstein,2009-12-11 00:00:00.000,0,,58,511688,531022,19334,75,59,,Không
86,EM,Ryan L Cornelsen,2009-01-05 00:00:00.000,2,2010-12-14 08:43:04.506,115,1014555,1015641,1086,56,68,708.0,Không
87,EM,Cristian K Petculescu,2008-12-22 00:00:00.000,1,2012-02-10 09:30:03.681,40,352888,328960,-23928,57,22,1145.0,Không
88,EM,Betsy A Stadick,2009-12-18 00:00:00.000,0,,114,1005733,992044,-13689,19,32,,Không
89,EM,Patrick C Wedge,2010-02-01 00:00:00.000,0,,109,961622,973834,12212,57,63,,Không
90,EM,Danielle C Tiedt,2010-02-20 00:00:00.000,1,2013-11-06 15:36:45.886,104,917511,930419,12908,84,58,1355.0,Không
91,EM,Kimberly B Zimmerman,2010-01-12 00:00:00.000,0,,25,220555,219835,-720,65,46,,Không
92,EM,Tom M Vande Velde,2010-03-10 00:00:00.000,0,,84,741066,744353,3287,78,55,,Không
93,EM,Kok-Ho T Loh,2008-12-27 00:00:00.000,2,2011-02-20 17:27:39.590,12,105866,127373,21507,35,46,785.0,Có
94,EM,Russell NULL Hunter,2008-12-12 00:00:00.000,1,2011-03-05 17:33:53.134,85,749888,750874,986,85,48,813.0,Không
95,EM,Jim H Scardelis,2008-12-19 00:00:00.000,2,2013-06-27 01:31:38.793,49,432288,454946,22658,36,55,1651.0,Có
96,EM,Elizabeth I Keyser,2009-03-02 00:00:00.000,0,,124,1093955,1095010,1055,37,54,,Không
97,EM,Mandar H Samant,2009-02-10 00:00:00.000,0,,70,617555,637286,19731,42,34,,Không
98,EM,Sameer A Tejani,2009-02-11 00:00:00.000,0,,12,105866,82297,-23569,95,23,,Không
99,EM,Nuan NULL Yu,2009-01-06 00:00:00.000,0,,21,185266,178980,-6286,66,27,,Không
100,EM,Lolan B Song,2009-01-12 00:00:00.000,1,2011-08-22 19:46:13.038,65,573444,551659,-21785,32,44,952.0,Không
101,EM,Houman N Pournasseh,2009-01-25 00:00:00.000,2,2013-08-14 21:31:40.400,94,829288,844500,15212,47,35,1662.0,Có
102,EM,Zheng W Mu,2008-12-03 00:00:00.000,0,,109,961622,956066,-5556,28,46,,Không
103,EM,Ebru N Ersan,2009-12-06 00:00:00.000,2,2014-04-22 04:19:48.902,67,591088,599838,8750,18,21,1598.0,Có
104,EM,Mary R Baker,2009-12-25 00:00:00.000,2,2011-02-26 18:07:53.313,122,1076311,1074311,-2000,71,30,428.0,Không
105,EM,Kevin M Homer,2009-12-25 00:00:00.000,0,,86,758711,771334,12623,81,72,,Không
106,EM,John T Kane,2010-02-27 00:00:00.000,1,2014-05-29 12:09:43.461,81,714600,719722,5122,45,70,1552.0,Không
107,EM,Christopher E Hill,2010-02-08 00:00:00.000,0,,122,1076311,1054716,-21595,52,56,,Không
108,EM,Jinghao K Liu,2008-12-08 00:00:00.000,0,,80,705777,691440,-14337,28,28,,Không
109,EM,Alice O Ciccu,2008-12-07 00:00:00.000,1,2012-03-21 11:48:11.031,122,1076311,1100619,24308,47,25,1200.0,Có
110,EM,Jun T Cao,2008-12-14 00:00:00.000,0,,66,582266,590054,7788,95,46,,Không
111,EM,Suroor R Fatima,2008-12-17 00:00:00.000,0,,34,299955,302994,3039,42,42,,Không
112,EM,John P Evans,2009-01-01 00:00:00.000,1,2011-11-18 17:28:39.976,122,1076311,1065263,-11048,70,28,1051.0,Không
113,EM,Linda K Moschell,2008-12-25 00:00:00.000,1,2009-10-31 22:19:16.555,18,158800,172727,13927,9,24,310.0,Không
114,EM,Mindaugas J Krapauskas,2009-01-13 00:00:00.000,1,2011-05-22 15:12:35.166,116,1023377,1003383,-19994,48,37,859.0,Không
115,EM,Angela W Barbariol,2009-01-20 00:00:00.000,2,2011-06-18 22:50:52.028,62,546977,555391,8414,73,79,879.0,Không
116,EM,Michael W Patten,2009-01-31 00:00:00.000,0,,55,485222,498323,13101,33,72,,Không
117,EM,Chad W Niswonger,2009-02-18 00:00:00.000,1,2013-02-16 22:17:17.693,35,308777,327504,18727,40,50,1459.0,Có
118,EM,Don L Hall,2009-02-13 00:00:00.000,0,,125,1102777,1110519,7742,48,21,,Không
119,EM,Michael T Entin,2009-02-25 00:00:00.000,1,2012-09-18 23:34:05.715,37,326422,331353,4931,17,40,1301.0,Có
120,EM,Kitti H Lertpiriyasuwat,2009-03-04 00:00:00.000,0,,119,1049844,1031113,-18731,84,33,,Không
121,EM,Pilar G Ackerman,2009-01-02 00:00:00.000,0,,95,838111,846721,8610,7,55,,Không
122,EM,Susan W Eaton,2008-12-07 00:00:00.000,2,2012-08-15 07:52:21.318,14,123511,116510,-7001,19,49,1347.0,Không
123,EM,Vamsi N Kuppa,2008-12-07 00:00:00.000,0,,101,891044,906251,15207,95,24,,Không
124,EM,Kim T Ralls,2008-12-26 00:00:00.000,2,2010-02-19 01:00:34.945,62,546977,525417,-21560,88,35,420.0,Không
125,EM,Matthias T Berndt,2009-01-20 00:00:00.000,0,,81,714600,726660,12060,89,60,,Không
126,EM,Jimmy T Bischoff,2009-02-26 00:00:00.000,0,,98,864577,860789,-3788,66,49,,Không
127,EM,David P Hamilton,2009-01-03 00:00:00.000,1,2009-08-30 17:55:04.912,17,149977,149859,-118,84,43,239.0,Không
128,EM,Paul B Komosinski,2008-12-04 00:00:00.000,2,2012-10-24 15:31:35.226,70,617555,599870,-17685,3,24,1420.0,Không
129,EM,Gary W Yukish,2008-12-22 00:00:00.000,0,,101,891044,887969,-3075,56,59,,Không
130,EM,Rob T Caron,2009-02-13 00:00:00.000,0,,17,149977,148473,-1504,17,37,,Không
131,EM,Baris F Cetinok,2009-02-15 00:00:00.000,2,2013-09-10 22:13:57.707,53,467577,454795,-12782,38,59,1668.0,Không
132,EM,Nicole B Holliday,2009-02-22 00:00:00.000,0,,27,238200,215082,-23118,14,53,,Không
133,EM,Michael L Rothkugel,2009-01-10 00:00:00.000,2,2010-08-03 10:26:09.748,96,846933,853048,6115,22,76,570.0,Không
134,EM,Eric NULL Gubbels,2009-01-14 00:00:00.000,2,2012-02-26 02:01:05.219,105,926333,947361,21028,37,21,1138.0,Có
135,EM,Ivo William Salmre,2008-12-04 00:00:00.000,0,,22,194088,211750,17662,19,76,,Không
136,EM,Sylvester A Valdez,2009-12-11 00:00:00.000,0,,87,767533,770272,2739,26,28,,Không
137,EM,Anibal T Sousa,2009-02-23 00:00:00.000,0,,108,952800,932230,-20570,98,76,,Không
138,EM,Samantha H Smith,2009-02-04 00:00:00.000,0,,61,538155,513703,-24452,40,75,,Không
139,EM,Hung-Fu T Ting,2010-01-06 00:00:00.000,0,,93,820466,825897,5431,27,43,,Không
140,EM,Prasanna E Samarawickrama,2010-01-22 00:00:00.000,1,2010-07-31 21:58:11.030,65,573444,585637,12193,19,40,190.0,Không
141,EM,Min G Su,2010-01-24 00:00:00.000,0,,78,688133,675181,-12952,12,52,,Không
142,EM,Olinda C Turner,2010-03-04 00:00:00.000,0,,119,1049844,1050145,301,71,57,,Không
143,EM,Krishna NULL Sunkammurali,2010-02-13 00:00:00.000,2,2011-03-11 14:24:42.630,116,1023377,1000037,-23340,42,39,391.0,Không
144,EM,Paul R Singh,2009-01-17 00:00:00.000,2,2012-02-14 12:09:26.921,46,405822,397098,-8724,47,44,1123.0,Không
145,EM,Cynthia S Randall,2009-01-27 00:00:00.000,0,,48,423466,431414,7948,58,28,,Không
146,EM,Jian Shuo NULL Wang,2008-12-07 00:00:00.000,0,,112,988088,998817,10729,39,48,,Không
147,EM,Sandra NULL Reátegui Alayo,2008-12-26 00:00:00.000,0,,34,299955,284258,-15697,87,50,,Không
148,EM,Jason M Watters,2009-01-14 00:00:00.000,0,,67,591088,571009,-20079,43,76,,Không
149,EM,Andy M Ruth,2009-01-31 00:00:00.000,1,2011-03-16 22:44:06.497,74,652844,641816,-11028,81,79,774.0,Không
150,EM,Michael T Vanderhyde,2009-02-26 00:00:00.000,2,2011-04-11 16:22:59.560,106,935155,915365,-19790,15,21,774.0,Không
151,EM,Rostislav E Shabalin,2009-02-19 00:00:00.000,2,2009-07-26 17:15:51.926,55,485222,493013,7791,29,41,157.0,Không
152,EM,Yuhong L Li,2009-02-01 00:00:00.000,1,2012-11-29 03:49:29.255,13,114688,100530,-14158,84,40,1397.0,Không
153,EM,Hanying P Feng,2008-12-16 00:00:00.000,0,,65,573444,588340,14896,15,64,,Không
154,EM,Raymond K Sam,2008-12-23 00:00:00.000,0,,38,335244,319398,-15846,72,68,,Không
155,EM,Fadi K Fakhouri,2009-01-04 00:00:00.000,2,2012-11-21 08:18:09.561,96,846933,827988,-18945,65,57,1417.0,Không
156,EM,Lane M Sacksteder,2009-01-11 00:00:00.000,1,2012-09-23 09:12:40.289,45,397000,378188,-18812,84,51,1351.0,Không
157,EM,Linda A Randall,2009-02-03 00:00:00.000,0,,95,838111,849255,11144,0,42,,Không
158,EM,Shelley N Dyck,2009-03-07 00:00:00.000,0,,100,882222,898975,16753,91,22,,Không
159,EM,Terrence W Earls,2009-02-16 00:00:00.000,1,2012-07-25 02:31:20.286,61,538155,540754,2599,63,80,1255.0,Không
160,EM,Jeff V Hay,2009-01-21 00:00:00.000,1,2013-11-23 08:14:57.687,104,917511,937980,20469,85,46,1767.0,Không
161,EM,Kirk J Koenigsbauer,2008-12-15 00:00:00.000,1,2012-11-24 14:45:39.174,85,749888,769158,19270,63,41,1440.0,Không
162,EM,Laura C Steele,2009-01-03 00:00:00.000,0,,114,1005733,1016694,10961,53,29,,Không
163,EM,Alex M Nayberg,2009-02-08 00:00:00.000,1,2009-07-10 08:08:08.453,46,405822,396968,-8854,76,29,152.0,Không
164,EM,Andrew M Cencini,2009-03-06 00:00:00.000,0,,62,546977,564197,17220,53,73,,Không
165,EM,Chris T Preston,2009-01-22 00:00:00.000,0,,84,741066,734085,-6981,63,73,,Không
166,EM,Jack S Richins,2009-02-21 00:00:00.000,0,,10,88222,96179,7957,54,39,,Không
167,EM,David N Johnson,2008-12-02 00:00:00.000,0,,20,176444,195470,19026,70,55,,Không
168,EM,Garrett R Young,2008-12-07 00:00:00.000,2,2011-01-04 08:41:52.402,101,891044,886764,-4280,83,37,758.0,Không
169,EM,Susan A Metters,2008-12-14 00:00:00.000,1,2011-06-14 16:47:25.918,12,105866,81791,-24075,90,57,912.0,Không
170,EM,George Z Li,2008-12-21 00:00:00.000,0,,52,458755,468174,9419,51,68,,Không
171,EM,David A Yalovsky,2009-01-02 00:00:00.000,1,2012-03-13 11:03:45.309,28,247022,232261,-14761,75,40,1166.0,Không
172,EM,Marc J Ingle,2009-01-16 00:00:00.000,2,2011-08-11 15:30:29.349,80,705777,719830,14053,77,72,937.0,Không
173,EM,Eugene R Zabokritski,2009-01-21 00:00:00.000,0,,82,723422,748297,24875,99,79,,Không
174,EM,Benjamin R Martin,2009-01-27 00:00:00.000,2,2009-11-12 09:44:21.927,57,502866,498367,-4499,19,39,289.0,Không
175,EM,Reed T Koch,2009-02-02 00:00:00.000,0,,50,441111,431908,-9203,6,71,,Không
176,EM,David Oliver Lawrence,2009-02-14 00:00:00.000,0,,20,176444,187805,11361,36,71,,Không
177,EM,Russell M King,2009-02-21 00:00:00.000,0,,91,802822,812861,10039,16,61,,Không
178,EM,John N Frum,2009-03-03 00:00:00.000,2,2012-05-18 16:22:58.815,109,961622,968901,7279,56,54,1172.0,Có
179,EM,Jan S Miksovsky,2009-03-05 00:00:00.000,0,,89,785177,778782,-6395,17,78,,Không
180,EM,Katie L McAskill-White,2009-02-20 00:00:00.000,2,2011-07-26 10:49:04.224,81,714600,729562,14962,81,56,886.0,Không
181,EM,Michael T Hines,2008-12-09 00:00:00.000,0,,42,370533,387400,16867,99,41,,Không
182,EM,Nitin S Mirchandani,2008-12-28 00:00:00.000,0,,91,802822,805491,2669,54,24,,Không
183,EM,Barbara S Decker,2009-01-22 00:00:00.000,0,,30,264666,257956,-6710,23,80,,Không
184,EM,John Y Chen,2009-02-09 00:00:00.000,2,2010-03-17 07:30:49.592,9,79400,99956,20556,0,65,401.0,Không
185,EM,Stefen A Hesse,2009-02-28 00:00:00.000,1,2011-09-08 03:25:08.842,48,423466,404984,-18482,7,72,922.0,Không
186,EM,Shane S Kim,2009-02-08 00:00:00.000,2,2012-04-13 04:45:14.333,69,608733,613578,4845,52,31,1160.0,Có
187,EM,Yvonne S McKay,2008-12-09 00:00:00.000,0,,61,538155,515175,-22980,44,57,,Không
188,EM,Douglas B Hite,2008-12-27 00:00:00.000,1,2013-10-16 20:02:27.710,20,176444,171359,-5085,79,58,1754.0,Không
189,EM,Janeth M Esteves,2009-01-15 00:00:00.000,1,2011-06-05 00:19:28.034,118,1041022,1026186,-14836,67,44,871.0,Không
190,EM,Robert J Rounthwaite,2009-02-02 00:00:00.000,0,,106,935155,921095,-14060,72,80,,Không
191,EM,Lionel C Penuchot,2009-02-26 00:00:00.000,1,2009-10-05 14:37:09.941,61,538155,525413,-12742,72,38,221.0,Không
192,EM,Brenda M Diaz,2009-03-05 00:00:00.000,1,2011-01-17 18:22:20.196,90,794000,778321,-15679,99,42,683.0,Không
193,EM,Alejandro E McGuel,2008-12-06 00:00:00.000,0,,119,1049844,1025315,-24529,64,61,,Không
194,EM,Fred T Northup,2008-12-12 00:00:00.000,0,,41,361711,348195,-13516,94,48,,Không
195,EM,Kevin H Liu,2008-12-17 00:00:00.000,2,2011-02-23 05:22:38.078,47,414644,432232,17588,4,63,798.0,Không
196,EM,Shammi G Mohamed,2008-12-24 00:00:00.000,0,,64,564622,580767,16145,77,71,,Không
197,EM,Rajesh M Patel,2008-12-31 00:00:00.000,1,2009-08-16 16:39:14.444,87,767533,760917,-6616,36,50,228.0,Không
198,EM,Lorraine O Nay,2009-01-04 00:00:00.000,1,2011-07-21 23:39:55.338,76,670488,682061,11573,1,62,928.0,Không
199,EM,Paula R Nartker,2009-01-12 00:00:00.000,1,2010-09-28 04:00:33.738,24,211733,192340,-19393,11,45,624.0,Không
200,EM,Frank T Lee,2009-01-17 00:00:00.000,0,,113,996911,978718,-18193,98,24,,Không
201,EM,Brian T Lloyd,2009-01-29 00:00:00.000,0,,54,476400,499181,22781,93,37,,Không
202,EM,Tawana G Nusbaum,2009-02-05 00:00:00.000,0,,54,476400,499123,22723,78,49,,Không
203,EM,Ken L Myer,2009-02-24 00:00:00.000,1,2009-12-02 08:57:18.986,21,185266,188389,3123,1,50,281.0,Không
204,EM,Gabe B Mares,2009-03-08 00:00:00.000,0,,61,538155,513339,-24816,98,22,,Không
205,EM,Lori A Kane,2009-02-26 00:00:00.000,0,,78,688133,698968,10835,31,33,,Không
206,EM,Stuart V Munson,2008-12-02 00:00:00.000,2,2010-11-23 07:18:57.381,119,1049844,1026462,-23382,70,34,721.0,Không
207,EM,Greg F Alderson,2008-12-02 00:00:00.000,0,,17,149977,143374,-6603,83,22,,Không
208,EM,Scott R Gode,2009-01-08 00:00:00.000,0,,86,758711,783221,24510,78,49,,Không
209,EM,Kathie E Flood,2009-01-27 00:00:00.000,0,,93,820466,825373,4907,52,49,,Không
210,EM,Belinda M Newman,2009-02-20 00:00:00.000,2,2014-01-22 10:34:29.666,54,476400,477361,961,71,58,1797.0,Không
211,EM,Hazem E Abolrous,2009-02-28 00:00:00.000,0,,39,344066,323578,-20488,76,73,,Không
212,EM,Peng J Wu,2008-12-09 00:00:00.000,2,2013-03-31 04:30:46.777,107,943977,923586,-20391,48,44,1573.0,Không
213,EM,Sootha T Charncherngkha,2010-02-23 00:00:00.000,0,,34,299955,303065,3110,59,61,,Không
214,EM,Andreas T Berglund,2009-02-02 00:00:00.000,0,,21,185266,181845,-3421,34,76,,Không
215,EM,Mark L Harrington,2009-01-15 00:00:00.000,0,,21,185266,173774,-11492,6,63,,Không
216,EM,Sean P Alexander,2008-12-28 00:00:00.000,2,2013-01-01 16:49:05.678,38,335244,331954,-3290,29,45,1465.0,Không
217,EM,Zainal T Arifin,2009-01-04 00:00:00.000,1,2013-11-22 18:35:22.133,112,988088,983010,-5078,81,78,1783.0,Không
218,EM,Tengiz N Kharatishvili,2008-12-16 00:00:00.000,1,2011-09-15 12:40:22.083,38,335244,351658,16414,42,20,1003.0,Có
219,EM,Sean N Chai,2009-01-22 00:00:00.000,0,,20,176444,162546,-13898,73,35,,Không
220,EM,Karen R Berge,2009-02-09 00:00:00.000,0,,28,247022,269371,22349,10,47,,Không
221,EM,Chris K Norred,2009-03-06 00:00:00.000,0,,67,591088,592727,1639,3,44,,Không
222,EM,A. Scott NULL Wright,2008-12-12 00:00:00.000,0,,104,917511,908883,-8628,49,78,,Không
223,EM,Sairaj L Uddin,2009-01-26 00:00:00.000,0,,72,635200,655006,19806,68,67,,Không
224,EM,William S Vong,2009-01-07 00:00:00.000,2,2011-02-06 19:51:45.498,64,564622,587807,23185,11,79,760.0,Không
225,EM,Alan J Brewer,2009-02-13 00:00:00.000,0,,43,379355,400711,21356,3,78,,Không
226,EM,Brian P LaMee,2009-03-03 00:00:00.000,0,,88,776355,752142,-24213,44,27,,Không
227,EM,Gary E. Altman,2009-12-02 00:00:00.000,0,,64,564622,550899,-13723,90,72,,Không
